Album, Items
Los Galapagos,3
Alex and Elena Soccer Games,17
Dinning with the Mikes,11
spares,5
Misc (22),19
FamilyPhotos_Scans,72
Elena Birthday,132
scans_friends,10
100HPAIO (1),4
New Years Party 2011 in 2012,9
New Years 2012,13
Jorge Villa Family,19
Christmas Day 2011,56
Christmas_eve,104
Rachael Portrait_2011,24
Office Christmas Party,83
101MSDCF (20),34
Goddard School 2011,105
101MSDCF (19),17
Thanksgiving (1),72
Notre Dame Last game,132
Gillian's birthday,7
November Birthdays,19
Hockey,47
Elena Soccer Fall,55
25th Anniversary,2
HHM_luncheon,4
HHM_2011,7
BirthDaysatMoms,2
Pam Quilt,21
Mother_Funeral_Aug_12,9
Myrtle Beach 8_12_2011,39
Myrtle Beach 8_11_2011,29
Myrtle Beach 8_10_2011,28
Myrtle Beach 8_9_2011,61
Myrtle Beach 8_8_2011,74
Myrtle Beach 8_7_2011,77
Myrtle beach 8_6_2011,35
best photos,31
North Mytle Beach,202
Bowles_North Mytle Beach,201
Car accident,4
Alex 3rd Birthday (1),88
picnic 2011,2
100CANON,596
Florida_John,21
Alex 3rd Birthday,48
July,21
Kaeling Graduation,11
Kaelyn Class 2011 Party,28
Shrimp Broil,28
Elena Resital,17
Elena's Soccer game,9
Mike Saville Retirement,46
photos,26
Kaelyn Graduation,68
Mother_Father_Day,38
Mother-Father's Day,56
Hail_Storm_2011_05_25,33
102NIKON (1),30
A World A' Fair 2011,23
Diane Miller Retirement,26
GrandKids (1),43
Summer 2011,161
May 14 2011,75
Prom,26
9-May,4
6-May,2
Los Galapagos Ivan II,377
5-May,1 item
4-May,5
Los Galapagos Ivan III,455
1-May,6
29-Apr,3
Crawford,6
Easter 2011 (2),3
Lucian Davis 91,10
2011 Ohio Mathematics Contest (1),4
El Meson,13
Mike Grier BD,19
Friends (2),13
La Comedia,3
panoramics,11
101MSDCF (18),32
K C's first & Easter 2011,32
Kaelyn Birthday,26
AprilFoolDay,12
101NIKON (1),171
101MSDCF (17),5
101MSDCF (16),7
100NIKON,188
Elena Photo,2
Lida and Luke Qiao,4
MomsInjury,49
103NIKON,72
DinnerMeeting_02-26_2011,18
Home photo,62
2/26/2011,1 item
2/15/2011,16
Los Galapagos Ivan I,402
Winter,12
2/1/2011,3
ElenaBirthday,10
PamQuilt,6
102NIKON,198
accident,3
101MSDCF (15),61
100COACH_2,150
100COACH_1,75
100COACH_3,95
101NIKON,200
New Year 2011,14
ChristmasEve,128
ChristmasHoliday,156
2010-12-24_0012,1 item
2010-12-24_0011,1 item
2010-12-24_0010,1 item
2010-12-24_0009,1 item
2010-12-24_0008,1 item
2010-12-24_0007,1 item
2010-12-24_0006,1 item
2010-12-24_0005,1 item
2010-12-24_0004,1 item
2010-12-24_0003,1 item
2010-12-24_0002,2
GrandKids_visits,1 item
PhoneCellPhotos,28
101MSDCF (14),71
Kylie & KC 2011,77
12/13/2010,5
LibraryRetireesChristmas,18
WeatherPhotos,18
101MSDCF (13),71
Ormand Beach 2010,72
RYWD_Christmas,2
Christmas,15
MakeOver,13
101MSDCF (12),20
101MSDCF (11),8
Becky 2010,27
Thanksgiving,4
Andrew Casas Wedding,23
Simons_lunch,15
Friends_Nothimghans,2
original,16
1965 Class,15
Bernardinos,15
PigeonForge_2010,5
Tio Miguel,5
Mom's 80th B Day Party 10-10-10,16
Edna_80th,4
BonFire_LeeAndPatCrawford,3
Misc (21),22
Shrimp Boil,15
Picnic_2010,4
photos_of_Monzon_familyPhotos,23
Mackinaw Island,2
Alex_SecondBirthdayParty,3
Frankenmuth,27
Rachael_John,20
USA_Ganna,6
2010-06 (Jun)-24,2
Fathers_day,38
home.php_files,5
AFRL_RYR_LawnMoverRobotics,12
MAY_MEETING,55
Indianapolis_500Poleday,4
SHPE_photos,5
101MSDCF (9),75
2010,74
101MSDCF (8),9
M.B S.C 2010,9
Washington_DC,44
Apr 28 2010,8
2010 Ohio Mathematics Contest,16
Babysitting_Apri_2010,35
101MSDCF (7),24
Apr 18 2010,16
90th_Birthday,25
101MSDCF (6),1 item
Coronel_Stauffer,41
Easter 2010 (2),17
3/26/2011,4
Oscar Photos,1086
Feb 16 2010,4
Fragata_MMC,3
Holding,36
Winter_feb_06_2010,30
Dad's 21st B-Day Mom's cake,1 item
Mom & Dad's 2010-02 (Feb)-01,5
Corel Auto-Preserve (2),2
Elena 3rd birthday,13
2010 01 24,49
2010 01 22,3
WillowCreekRetirementParty,1 item
2010 01 18,2
2010_Davis_Scans_,50
Corel Auto-Preserve (1),1 item
Corel Auto-Preserve,5
Edra_Retirement_Library,70
Jan 09 2010,4
New York,6
AnaleeAward_2010,3
Dec 30 2009,33
Edra Last Day,4
Dec 25 2009,4
Christmas_2009 (1),3
Dec 24 2009,2
101MSDCF (5),9
Dec 23 2009,1 item
Christmas_2009,15
Dec 18 2009,2
Dec 16 2009,1 item
Dec 13 2009,2
Tea Party 2009,17
Holiday_Tea_2009,17
Monzon Bowles 2010,27
Several_Christmas_2010,306
Dec 03 2009,2
Dec 02 2009,5
Nov 30 2009,3
Jaime_Monzon,2
Nov 20 2009,3
Armando_Rehearsal,25
Rachael_Father,68
3/10/2007,1 item
Pictures_01,348
Elena_2007_08,19
USA_30_years,41
ElenaSecondBirthday,4
Cincy_2009_03_13,1 item
NotreDame,2
Pepitos (1),20
2009_06_01,2
Father_Day_2009_06_21,19
GrandKidsVisit_2009_0702,39
Cape Code 2009,25
Pictures_12,25
Pictures_05,25
Pictures_06,25
Pictures_08,25
Pictures_03,25
Pictures_09,25
Pictures_10,26
Pictures_07,26
Pictures_02,25
Pictures_04,28
Edra_49thBirthDay,16
Maine_Vacation,26
Edra_50th_birthday,24
A World A'Fair 2008,3
A World A'Fair 2001,10
Second Wedding,10
2008 10 11,2
Alaska_2007,1 item
Alex_birth_Aug _02_2008,1 item
LibraryLevi_2009,1 item
101MSDCF (4),27
SHPE_JobFair_2009,9
MY63thBirthday,13
SHPE_AF_Marathon_2009,237
AF_Marathon_2009,233
Oscar_Wedding,37
Barcelona_2001_09_17,82
Falmouth,42
in the Road,1 item
Funeral,23
ColombianIndependenceDay2009,17
Sue,2
ElMesonColombia_Indendence Day,22
EstatesAtTheWillowCreek,89
12/4/2011,1663
Jun 21 2009,8
Jun 14 2009,1 item
Jun 11 2009,5
Jun 10 2009,3
img,2
brugges2006,19
Pepitos,17
101_SONY,14
WindJammer (1),45
GrandKids,50
Family Scans,46
Boston visit,76
RondaWedding (1),26
Edra,14
Scanned Photos,241
Davis Family,193
Father Day (1),33
Jan 01 2009,9
Dec 29 2008,13
Dec 28 2008,7
Dec 27 2008,17
Flickered,1 item
Christmas_2008,6
8-Dec,32
Florida 2008,38
Dec 24 2008,1 item
101MSDCF (2),77
DavidEsnedaOchoa,53
Our Home,72
Bogota_bautismo,53
Armando_ChildHood,51
Armando_bebe_1976,86
LindaRetirement2006,70
Slide Shows,4
2008 11 01,15
2008 10 29,4
Thanksgiving_2008,32
DallaCowBoysGame,192
Alex,73
Armando preg to 2.5mon,219
Abuelitos,22
Elena (1),52
Alex_preg to 2.5mon,562
Myrtle_Beach_2008,3
Misc (20),35
101MSDCF (1),58
images (4),21
SHPE,45
birthdays_Jul_2008,7
Summer_2008,4
2008-06-28-1009-59,41
Elena_Baby Moon 2007,13
Key West 2008 #2,61
Key West 2008,71
DRIIIpromotionParty,2
Winter_2008,10
more Ronda,164
Elena_FirstBirthday,21
Christmas_2007_Armandos,24
RYR_Christmas_2007,73
WestCarrolton_2007,10
Picnic_2007,2
SavedFromMail,12
ThanksGiving_2007,43
Pictures,22
grandMotherHouse,27
11/2/2007,51
images (3),1 item
images (2),1 item
Hispanic_Heritage_2007,13
SHPE_people,171
AF_Marathon_2007,384
Edra_55th_Birthday,7
web_pictures,15
Custom Party,8
Mother90ElenaFirst,244
WindJammer_2007 (1),3
Windjammer_2007,146
Windjammer,22
Curu- Costa Rica 2007,20
Curu,235
115CANON,96
My_Windjammer,150
Rondas_Photos,579
114CANON,96
Windjammer Fay 7.07,159
TOURS,138
COSTA_RICA,47
Legacy (1),61
Parties in the Legacy,152
Windjammer 2013,224
Costa Rica,310
Legacy,63
Wind Jammer,176
MISC (19),167
113CANON,71
Windjammer Chris 8.07,245
Summer_Festival,217
June_16,17
June_15,273
June_14,70
June_13,51
June_12,110
June_11,43
June_10,67
June_09,94
June_08,86
June_07,130
june_06,211
June_05,31
June_04,32
friends babies,6
CHINCHERO,30
A World A'Fair 2007,39
Elena_six_Month,70
ProvidenceTown,3
Tom_is_70,48
2007_04_29_soccer_visit,30
INTI,18
MAPAS,4
PUCAPUCARA,21
OLLANTAYTAMBO,27
SAQSAYHUAMAN,36
TAMBOMACHAY,17
MACHUPICCHU,79
PISAQ,37
QENQO,25
QORICANCHA,24
CUSCO,69
Book & Company ~DMLElena First Eastern 2007,5
DespedidaparaArgentino,15
NightSoccer,31
Family_CustomParty,29
ElMesonLibrarians,7
Scans,27
Vargas Family,17
2/28/2007,7
2007-02-18 Winter 2007,58
Elena_Feb_04_2007,31
RYWD,12
Birth_Jan_31_2007,37
Soccer,10
NightSoccer_20070130,8
Elena TimeLine,10
101MSDCF,335
Microsoft Clip Organizer,6
Edra and Carlos (1),23
Family_Photos,6
2007-02-18 Home,109
Windjammer_199X,95
B1B_SPO,33
NewYears_2007,30
Christmas_2006,23
ChristmasatArmando,48
Other Photos,5
Stephanie,2
Helicopter Ride,6
FamilyHolidays,31
Elena_ultrasound,8
WClib_Tea_06,65
West Carrolton Lib Chritmas,13
SHPE_Navidad_2006,36
SHPE_Navidad06,36
FamilyThanksgiving06,28
old house,26
Thanksgiving_2006,26
Torie (2),22
Torie (1),22
Elena_Armando_Photos,270
Misc_2006,4
TheGreene,17
My60thBirthday,47
mybirthday_60,46
GarageSale_Aug_05_2006,35
GarageSale_127_,35
temp,48
misc (18),34
Picnic_2006,84
Digital Camera Photos,60
Armando_30th,21
fathersday_2006,28
2006-06-25-SHPE_Picnic,46
Boston_20060524,70
Boston_2006-05-29,77
images (1),7
elmeson,24
WorldAffair_2006,267
A World A'Fair 2006,267
Kettering,32
2006-05-21-1859-40_Michael Bohler,42
Monzon Davis Linville Bond,1596
Rachael_Brookesbirthday,47
2006-02-18-2331-13,8
2006-03-01-1708-31,103
2006-03-01-1703-09,88
2006-02-17-2326-42,65
2006-01-21-1604-53,22
RachaelPigeonForge_2009,146
Alex_Elena_2009,48
2006-01-21-1607-48,52
2005-12-26-1209-17,29
2005-12-24-2220-09,69
2005-12-24-2212-35,9
2005-12-15-0733-14,79
2005-12-13-2032-20,22
2005-12-10-1806-07,24
2005-12-10-0938-23,13
2005-12-10-0801-21,50
2005-12-04-1120-33,204
WestCarrolltonBranch,1 item
Parade_20050618,86
Office (2),13
Ice Social 2005,78
IceSocial2004,24
RYRA,9
Oscar,38
Monzon Parents,24
Annuario_1964,21
Colombia_before1978,114
Winter_2004_Dec_23,32
WestLiberty040501,28
Virginia_95th,51
Photos for Cousin,47
PittsburghSoccer,30
PensilvaniaTrip,64
Lucian_ Jr,7
Hawai_2005,244
fathersday2004,19
Bogota 2004 ~Misa,22
Christmas 2004,69
DigitalScreen,198
100HPAIO,198
Boston_2005,107
2005-10-27-1947-19,13
2005-10-18-0746-03,24
2005-08-31-2123-54,15
2005-08-28-1240-20,15
2005-08-28-1150-22,10
2005-08-19-2009-16,78
BohlerBonfire2005,22
RondaWedding,68
Max Delgado,2
Armando Prom,16
Trip,12
Edra 40 Birthday,11
Armando Football,13
Retirement 1986,7
Lucian Davis SR,13
Armando 1986,19
Start Point,24
Edra and Carlos,59
Ronda,135
Rafting,11
Amish Country,11
My50thBirthday,4
Boston Trip 19xx,26
West Virginia,248
Washington DC (1),101
DownTownWashingtonDC,243
2005-09-21-0440-28,4
2005-09-19-0728-26,36
SHPE activities,45
2005-09-17-1503-39,139
Air Force Marathon_september_17,388
NIVIA_PHOTOS_2 - 2792504910,7
NIVIA_PHOTOS_1 - 1631068677,29
photos 2,35
Nivia,10
2005-09-04-1342-32,36
Soccer Columbus,36
2005-09-21-1737-22,127
Tarmac Toastmasters,63
HarryPotter_20050715,184
Armando_Cruise,92
HarryFixed,179
g canyon east 6-30-05,180
gcanyon red 6-29-05,139
gcanyon green 6-29-05,88
grand canyon 6-28-05,86
Marylynn,84
Tom Bowles Birthday,160
Christmas_2004,57
Armando_Christmas_2004,50
PtBackup,194
Misc (17),11
Bogota_03,63
Bogota_04,72
Bogota_05,59
Colombia 2004,59
Bogota_01,64
Colombia,64
Bogota_02,58
Bogota,134
Friends (1),2
Windjammer 2003 ~Joey,135
Winjammer 2003 Rachael (3),29
Windjammer 2003 Party Photos,23
Windjammer 2003~ Rachael,28
Windjammer 2003 Beach Party,27
Windjammer 2003 Panama Cruise,27
Windjammer 2003 Cunnas,27
Winjammer 2003 ~Rachael (2),27
Panama Canal,17
Windjammer 2003 ~Panama_land,21
Windjammer 2003 ~Panama Cruise,130
Windjammer 2003~Joe's Photos,136
Dsc00150,19
Dsc00140,19
sandiego001,94
sandiego003,145
sandiego002,102
Monzon Lozano Family,49
fotos6,25
fotos5,30
fotos2,4
fotos4,5
fotos3,5
Mother_Aug_08,132
foto1,4
Dsc00130,23
Web_graphics,11
2005-08-29-2135-14,137
Armando_Wedding_01,26
Armando_Wedding_02,30
B1B_photos,3
MISC2,1 item
Rachael 2014 Vacation,827
Cobblestone Village,12
Farewell for Juan Gueits,21
Bonfire 2013,18
2013 OMC,38
shpedaytonwebsite,162
Cheryl 50th Birthday,29
2012 Ohio Math Contest,40
TechFest 2012,37
avcdayton,38
Roy Juarez Tour 2012,46
El Primo se fue para la Costa,20
SHPE New Year Party 2011 in2012,62
School Suplies Drive,40
Treasure Hunt 2011,16
Hispanic Heritage Month 2011,69
Dysney 2002,94
11-Sep,24
Air Force Marathon 2011,307
Ronda birthday,33
Los galapagos- Abril 29- May 8,54
Los Galapagos- April 29-30 2011,85
Los Galapagos- Quito Ecuador- May 8,80
Los Galapagos- May 7,31
Los Galapagos- May 6,268
Los Galapagos- May 5,163
Los Galapagos- May 4,155
Los Galapagos- May 3,170
Los Galapagos- May 2,343
Los Galapagos May 1,273
Easter 2011,19
2011 Ohio Mathematics Contest,19
Batelle & SHPE Mock Interview,18
SHPE Dinner Meeting 2011 (1),62
Elena Tea Party,20
Elena 4th Birthday,98
Instituto San Bernardo 1965,29
Veronica Ramirez Visit,43
Bernardinos 1965 Luncheon,52
Christmas 2010,40
Christmas Eve,151
SHPE Christmas Party 2010,90
RYWD Christmas Party 2010,98
Chicago,171
Photo of the Day,157
Thanksgiving 2010,68
Casas Riveros Family,28
Edna Davis 80th,72
Crawford's Fall Bonfire,25
15th US Air Force Marathon (2010),188
Recuerdos de Jaime Monzon,34
Lebanese Festival,62
SHPE 2010 Picnic,41
Mother's Funeral,52
Ruth Leopard 90th Birthday,109
Alex Second Birthday,62
MacKinaw Island- 2010,177
Frankenmuth- Michigan 2010,198
World Cup USA vs England,50
Crawford's,11
Indianapolis 500 Pole Day,78
A World A'Fair 2010,26
GrandDaughter World Soccer Cup,39
Washington DC,26
Monzon-Lozano Family,82
BabySitting 2010,138
Sergio Perez Moving to San Antonio,16
90th Dad's Birthday,90
Easter 2010,100
Carlos Ramirez is 90,13
Winter 2010- Feb 6- 2010,58
Elena's Third Birthday,113
Edra 's Retirement Party at the Willow Creek,27
Edra retires,90
Christmas 2009 ~ Feliz Navidad,56
West Carrollton Library Holiday Party,28
SHPE Christmas Party 2009,76
Jaime Monzon Wedding (23 Oct 2009),34
Instituto San Bernardo de la Salle 1965 Class,41
Dayton Metro Library- Save vote for 40,11
US Air Force Marathon 2009,131
North Billerica,62
Stephanie Monzon,6
Providencetown- Cape Cod,81
Cape_Cod_NiagaraFall,41
Cape Cod 2009,23
CapeCod_Martha's Vineyard,33
Cape Cod 2009,23
Lucian Davis Jr - In Memory of,77
Visited by my grandkids,26
Father day,101
World A'Fair 2009,88
Tibetan Monks at the Dayton Metro Library,20
Tibetan Monks at the Dayton Metro Library,4
Easter 2009,68
Queen City visit,84
Elena's Second Birthday (Segundo cumpleaños),77
Winter 2009,29
Christmas 2008,111
Our New Home,13
Pigeon Forge- TN,51
Myrtle Beach SC.(2),127
Myrtle Beach- SC,51
Alexander Andres,37
Alexander Andres,88
Summer 2008,39
Colombia 2008,12
SHPE Picnic 2008,35
Fathers Day 2008,17
Dayton Metro Library Retirees,18
2008 Mother's Day,44
World A' Fair 2008,177
The Baby Moon,83
Promotion Party,17
Easter 2008,50
Winter 2008,51
Elena First Birthday,213
New Year 2008,31
Christmas 2007,51
Elena's First Christmas (2007),100
West Carrollton 2007,50
Thanks Giving 2007,43
Elena,154
wpafbsoccer,33
Hispanic Heritage Month,12
Bogota- Colombia,69
Edra birthday 2007,7
AF Marathon 2007,403
Mother is 90,221
SHPE OHIO SW Picnic 2007,72
Costa Rica -Windjammer Jul-Aug 2007,55
Legacy-Windjammer Jul-Aug 2007,71
Tours-Windjammer Jul28-Aug4- 2004,153
Parties in the Legacy- Windjammer,146
Curu and San Jose- Costa Rica,233
Harry Potter 2007,172
Tatoo 2007,31
Fairbanks and Nick & Leah Sanders- June 15-16- 2007,284
Natural History Tour- train to Fairbanks: June 14- 2007,69
Mckinley to Denali,51
Talkeena- June 12- 2007,108
Whittier- June 11- 2007,42
College Fjoard- June 10- 2007,66
Glacier Bay and Formal Dinner- June 9-2007,92
Skagway- June 8-2007,83
Ketchikan- June 6 2007,208
Johnstone Strait and Blackney Passage- June 5- 2007,29
Juneau- Alaska June 7- 2007,132
Vancouver BC- Canada- June 4- 2007,31
Orlando Vilches Retires,45
Friends,12
World A' Fair 2007,84
Mother's Day,27
Tom is 70,52
Elena First Easter 2007,41
International Soccer,92
Torie,20
Dayton Metro Library Retirees,38
Winter 2007,25
Mis primos- my cousins,42
Elena Danielle Monzon,139
Dayton Metro,22
Family and Friends,25
WPAFB Soccer,57
Christmas 2006,93
My 60th Birthday ~2006,43
Jan Retirement,85
SHPE Christmas Party,25
,81036
